customer_id,Name,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
fffe430049004400390031003300,Wan Garraway,60,M,GBH67OC,Village,Platinum Membership,2015-10-06,Yes,CID27405,Gift Vouchers/Coupons,?,Fiber_Optic,19:39:26,6,571.45,7778.92,5.0,704.93,Yes,Yes,No,Not Applicable,Poor Website,-1
fffe43004900440031003500360039003900,Carmelo Keitt,48,F,PN9XX93,Village,Silver Membership,2015-12-25,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,16:01:26,3,259.62,12549.93,36.204800566565154,765.97,Yes,No,No,Not Applicable,Poor Product Quality,3
fffe43004900440033003200360037003200,Albertha Fragale,28,M,NI00GZV,Town,No Membership,2015-04-19,?,CID25795,Credit/Debit Card Offers,Smartphone,Wi-Fi,12:49:57,16,160.24,25494.34,14.0,663.76,No,Yes,Yes,Solved in Follow-up,Poor Website,5
fffe43004900440035003900320030003000,Sidney Hakes,44,F,EFOP88Q,Town,Basic Membership,2017-04-13,Yes,CID61848,Gift Vouchers/Coupons,?,Mobile_Data,23:45:49,14,1025.9131998701207,4578.77,Error,663.69,No,Yes,No,Not Applicable,Poor Customer Service,4
fffe43004900440031003600340032003900,Zoe Rickman,12,M,7E58K5C,City,Basic Membership,2017-07-04,Yes,CID63467,Without Offers,Smartphone,Mobile_Data,13:05:12,11,1079.7555528192563,1436.2,Error,617.71,Yes,No,No,Not Applicable,Poor Customer Service,5
fffe43004900440035003100370034003000,Neoma Sisler,38,M,9U6E7KD,,No Membership,2015-10-06,Yes,CID38750,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13:33:50,3,47.16,19773.32,Error,126.6907717806546,Yes,No,No,Not Applicable,No reason specified,5
fffe43004900440034003300370037003500,Keva Dudding,59,F,ECQPIE8,Town,Gold Membership,2016-02-07,Yes,CID34249,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:03:47,23,32.16,16625.03,7.0,756.22,Yes,No,Yes,No Information Available,Reasonable Price,1
fffe43004900440031003900310038003500,Joanna Orndorff,16,M,H1JDEKZ,City,Silver Membership,2017-11-16,Yes,CID58404,Gift Vouchers/Coupons,Desktop,Fiber_Optic,14:58:22,12,122.78,3516.71,17.0,726.65,Yes,No,No,Not Applicable,Poor Customer Service,3
fffe43004900440032003800360037003400,Sidney Wetherell,58,M,0V14YEQ,,No Membership,2016-08-26,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,15:56:49,12,206.44,4191.0,Error,716.35,Yes,No,No,Not Applicable,Poor Website,4
fffe43004900440035003200330037003000,Jong Harrington,47,F,6F2V9MU,City,Silver Membership,2015-05-12,Yes,CID52624,Gift Vouchers/Coupons,Both,Mobile_Data,11:48:53,21,1072.92,30336.53,17.0,762.16,Yes,Yes,Yes,Solved in Follow-up,Poor Website,3
fffe43004900440035003800390038003600,Dusty Moss,62,M,YVVW0L0,,Basic Membership,2016-07-24,No,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,15:10:54,3,49.3,35287.43,28.0,553.27,Yes,No,Yes,Solved in Follow-up,Too many ads,5
fffe43004900440035003900310033003400,Tyler Freeborn,38,M,LMK3QKC,Town,No Membership,2016-02-27,Yes,CID15658,Without Offers,Both,Mobile_Data,05:55:00,11,400.01,16758.33,23.0,656.67,No,Yes,Yes,No Information Available,Poor Product Quality,4
fffe43004900440031003100340030003700,Chantel Tracey,54,M,DJ3E6IZ,City,Silver Membership,2015-10-01,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,20:19:58,13,33.24,32270.42,18.0,711.41,Yes,No,No,Not Applicable,Too many ads,3
fffe43004900440034003600340032003700,Illa Silver,44,F,L750A3E,Village,No Membership,2017-10-16,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,06:58:25,-999,111.26,26821.38,16.0,698.78,No,Yes,No,Not Applicable,Poor Product Quality,4
